ANT1,6.68,-14.92,270.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,4.16,-4.44,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-17.39,8.54,180.00,10μF,NORDIC_NRF_3_RESC0402_L
C10,9.69,-6.94,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,3.31,-3.70,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,5.53,-5.53,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,6.87,-5.33,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,12.43,-4.45,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,9.34,-5.37,180.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,9.69,-6.20,180.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,13.13,-3.62,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,13.18,-0.43,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,15.94,-0.94,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,5.42,-6.77,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-8.09,7.88,180.00,4.7μF/25V,NORDIC_NRF_3_RESC0402_L
C20,11.38,3.70,90.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,10.47,3.71,90.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,3.62,-13.29,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,14.78,14.36,180.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,10.72,12.84,90.00,10μF,NORDIC_NRF_3_RESC0402_L
C25,15.02,12.82,90.00,22μF,NORDIC_NRF_3_RESC0402_L
C27,18.17,9.65,90.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.27,-12.33,180.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,3.62,-12.55,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-11.77,-12.30,180.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-0.72,-12.47,180.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,18.57,5.51,270.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,15.94,12.82,90.00,22μF,NORDIC_NRF_3_RESC0402_L
C34,14.74,5.94,270.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,17.34,9.65,90.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,12.92,8.40,0.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,12.60,9.28,180.00,10μF,NORDIC_NRF_3_RESC0402_L
C4,3.62,-14.03,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.63,8.60,0.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,2.95,9.47,0.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C5,12.00,-3.63,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,12.30,3.71,90.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,6.60,3.37,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,4.99,3.38,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,3.43,-0.47,180.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-4.52,7.89,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-0.01,7.96,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-3.96,4.13,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-8.88,10.92,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.06,2.67,180.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-12.05,-8.80,270.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-4.61,10.05,0.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-10.54,-6.40,270.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-10.06,3.59,180.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-10.69,-1.51,90.00,0.1μF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-14.87,-8.79,270.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-13.93,-8.79,270.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-12.99,-8.80,270.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-6.31,13.09,0.00,1μF/50V,NORDIC_NRF_3_RESC0402_L
IC1,15.36,8.61,90.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,16.86,5.52,270.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,15.22,1.23,180.00,BMA423_BMA423,BMA423_BMA423
IC9,12.91,12.35,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,-3.92,-5.95,90.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,4.62,-13.50,270.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,11.15,-5.46,0.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,11.16,-6.36,180.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-13.47,10.85,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,16.43,14.83,90.00,,NORDIC_NRF_2_RESC0402_L
Q1,-13.16,15.31,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-9.10,6.02,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,10.06,11.03,90.00,3K3,CPF0201D7K68C1_0201
R18,16.73,12.53,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-9.72,4.33,270.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.50,10.32,270.00,5K1,CPF0201D7K68C1_0201
R2,15.30,11.18,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-10.43,7.71,90.00,10K,CPF0201D7K68C1_0201
R2_USB,-2.53,10.30,270.00,5K1,CPF0201D7K68C1_0201
R3,17.05,2.38,0.00,0,CPF0201D7K68C1_0201
R4,10.62,11.63,90.00,0,CPF0201D7K68C1_0201
R5,-12.61,-12.20,180.00,10K,CPF0201D7K68C1_0201
R7,9.41,-12.21,180.00,10K,CPF0201D7K68C1_0201
R8,-1.58,-12.35,180.00,10K,CPF0201D7K68C1_0201
R9,17.32,8.62,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-11.23,15.69,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-8.79,4.12,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-7.51,3.24,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,13.51,-5.94,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,18.37,15.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,7.16,16.15,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,19.52,-13.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,14.88,4.27,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,18.86,3.85,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-1.00,0.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,21.39,1.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,20.25,13.70,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,-8.83,-3.43,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,-5.12,-11.67,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,2.32,3.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,17.86,11.24,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,9.37,14.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.73,-1.00,180.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,20.60,10.45,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,3.53,-6.30,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,13.34,-2.04,180.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
